"timezone";"country";"altitude";"city";"street";"lon";"lat";"id"
"Europe/Berlin";"DE";44;"Greven";"Ruhe Rott";7,5939998626709;52,0936012268066;"70:ee:50:2b:1f:80"
"Europe/Berlin";"DE";44;"Greven";"Biederlackstraße";7,599242;52,091173;"70:ee:50:2f:1a:92"
"Europe/Berlin";"DE";44;"Greven";"Jürgen-Hornemann-Straße";7,60164014032205;52,0953467138881;"70:ee:50:12:87:56"
"Europe/Berlin";"DE";45;"Kreis Steinfurt";"Grabenstraße";7,61991280000007;52,0896629;"70:ee:50:1d:e5:de"
"Europe/Berlin";"DE";43;"Greven";"Blaufärberstraße";7,62701222665156;52,0888156252323;"70:ee:50:2a:e7:12"
"Europe/Berlin";"DE";43;"Greven";"Blaufärberstraße";7,62701222665156;52,0888156252323;"70:ee:50:29:49:8a"
"Europe/Berlin";"DE";49;"Ostbevern";"An der Aa";7,774285;52,081806;"70:ee:50:2f:2a:60"
"Europe/Berlin";"DE";48;"Greven";"Meinhardingstraße";7,60497669999995;52,1062928;"70:ee:50:16:12:8e"
"Europe/Berlin";"DE";49;"Greven";"Meinhardingstraße";7,60433774397461;52,1069618064714;"70:ee:50:13:54:c8"
"Europe/Berlin";"DE";49;"Kreis Steinfurt";"Kolpingstraße";7,6146407;52,0972818;"70:ee:50:1e:10:8c"
"Europe/Berlin";"DE";56;"Lienen";"Schwarzer Weg";7,859471;52,109583;"70:ee:50:5e:e6:b2"
"Europe/Berlin";"DE";53;"Ladbergen";"Gartenstraße";7,75;52,13330078125;"70:ee:50:17:77:a2"
"Europe/Berlin";"DE";51;"Ladbergen";"Schulenburger Weg";7,75806;52,127659;"70:ee:50:04:7d:32"
"Europe/Berlin";"DE";54;"Ladbergen";"Kattenvenner Straße";7,798257;52,1327;"70:ee:50:17:73:72"
"Europe/Berlin";"DE";63;"Ascheberg";"Ostereckern";7,65655904364235;51,7996641768352;"70:ee:50:2a:ec:8c"
"Europe/Berlin";"DE";62;"Drensteinfurt";"Mispelweg";7,71979405235129;51,7968240826801;"70:ee:50:3f:06:a2"
"Europe/Berlin";"DE";63;"Drensteinfurt";"Mispelweg";7,72066399999994;51,795877;"70:ee:50:29:2d:50"
"Europe/Berlin";"DE";63;"Drensteinfurt";"Mispelweg";7,7212117;51,7957813;"70:ee:50:3f:4a:c6"
"Europe/Berlin";"DE";64;"Drensteinfurt";"Am Töller";7,73820018768311;51,7952995300293;"70:ee:50:2c:79:24"
"Europe/Berlin";"DE";62;"Drensteinfurt";"Reinhausweg";7,745336646;51,792997558;"70:ee:50:2c:a7:6e"
"Europe/Berlin";"DE";63;"Ascheberg";"Frieport";7,59548425674438;51,8210334777832;"70:ee:50:5e:ec:b4"
"Europe/Berlin";"DE";58;"Drensteinfurt";"Hovestadt";7,6810843;51,8413269;"70:ee:50:13:5c:c6"
"Europe/Berlin";"DE";61;"Drensteinfurt";"Eickenbecker Straße";7,68665760964086;51,8414401850555;"70:ee:50:16:08:24"
"Europe/Berlin";"DE";62;"Drensteinfurt";"Göttendorfer Weg";7,687507;51,844561;"70:ee:50:64:41:62"
"Europe/Berlin";"DE";62;"Sendenhorst";"Ostpreußenring";7,8218598296933;51,8370300625264;"70:ee:50:05:05:dc"
"Europe/Berlin";"DE";69;"Sendenhorst";NA;7,8302419;51,8430755;"70:ee:50:3c:f1:b8"
"Europe/Berlin";"DE";62;"Sendenhorst";"Kirchbergstraße";7,829041;51,849866;"70:ee:50:05:88:16"
"Europe/Berlin";"DE";64;"Sendenhorst";"Müllerstraße";7,83426919043526;51,8461111226149;"70:ee:50:06:7b:ae"
"Europe/Berlin";"DE";59;"Drensteinfurt";"Sunger";7,715714;51,850475;"70:ee:50:32:cc:c0"
"Europe/Berlin";"DE";55;"Sendenhorst";"Zur Werseaue";7,732235;51,862544;"70:ee:50:58:e2:86"
"Europe/Berlin";"DE";60;"Sendenhorst";"Alst";7,76215000000002;51,85519;"70:ee:50:02:3b:7c"
"Europe/Berlin";"DE";59;"Sendenhorst";"Sandfort";7,78840017318726;51,855899810791;"70:ee:50:05:89:48"
"Europe/Berlin";"DE";64;"Sendenhorst";"Nienkampstraße";7,821409;51,851389;"70:ee:50:33:25:a4"
"Europe/Berlin";"DE";63;"Sendenhorst";"Telgter Straße";7,826484;51,850238;"70:ee:50:00:1c:02"
"Europe/Berlin";"DE";60;"Münster";"Breitenkamp";7,605923;51,878575;"70:ee:50:04:e8:da"
"Europe/Berlin";"DE";60;"Münster";"Auf der Woort";7,60220387568694;51,8839106859122;"70:ee:50:3f:77:9e"
"Europe/Berlin";"DE";62;"Münster";"Arnikaweg";7,60279393406777;51,8820765151974;"70:ee:50:2f:20:d2"
"Europe/Berlin";"DE";61;"Münster";"Malvenweg";7,60379999999998;51,88329;"70:ee:50:32:dd:da"
"Europe/Berlin";"DE";60;"Münster";"Templerweg";7,630797;51,895147;"70:ee:50:04:8c:74"
"Europe/Berlin";"DE";56;"Münster";"Virginia-Woolf-Weg";7,619294;51,900827;"70:ee:50:22:d5:b6"
"Europe/Berlin";"DE";60;"Münster";"Thomas-Mann-Weg";7,62959999999998;51,8996;"70:ee:50:01:76:6a"
"Europe/Berlin";"DE";69;"Münster";"Moränenstraße";7,643778;51,90511;"70:ee:50:04:9c:74"
"Europe/Berlin";"DE";66;"Münster";"Konsul-Schencking-Straße";7,64903976582703;51,9063218404091;"70:ee:50:2a:f4:22"
"Europe/Berlin";"DE";61;"Münster";"Osttor";7,66046540000002;51,905599;"70:ee:50:27:68:dc"
"Europe/Berlin";"DE";62;"Everswinkel";"Wieningen";7,87203225307894;51,9072830770648;"70:ee:50:03:fb:2e"
"Europe/Berlin";"DE";60;"Münster";"Kappenberger Damm";7,5954738;51,9082419;"70:ee:50:3e:f8:30"
"Europe/Berlin";"DE";62;"Münster";"Linckensstraße";7,61918;51,909715;"70:ee:50:19:0c:12"
"Europe/Berlin";"DE";61;"Münster";"Wilhelm-Spinn-Weg";7,62131451854771;51,910014886166;"70:ee:50:36:a5:9a"
"Europe/Berlin";"DE";67;"Münster";"Bredekamp";7,635067;51,9178;"70:ee:50:17:65:3c"
"Europe/Berlin";"DE";66;"Münster";"Von-Flotow-Straße";7,64446986241876;51,9087412992709;"70:ee:50:02:7b:08"
"Europe/Berlin";"DE";63;"Münster";"Am Hagen";7,64457530000004;51,9107704;"70:ee:50:03:0d:a2"
"Europe/Berlin";"DE";61;"Münster";"Schosterweg";7,654438;51,91921;"70:ee:50:01:71:14"
"Europe/Berlin";"DE";57;"Münster";"Normannenweg";7,67085238185825;51,9183323143923;"70:ee:50:1e:0c:8a"
"Europe/Berlin";"DE";54;"Münster";"Normannenweg";7,6737634066518;51,9186128905364;"70:ee:50:1f:82:e4"
"Europe/Berlin";"DE";54;"Münster";"Normannenweg";7,673044;51,918859;"70:ee:50:27:a1:a6"
"Europe/Berlin";"DE";53;"Münster";"Kissenkötterweg";7,70846900000001;51,9154229998045;"70:ee:50:1e:12:58"
"Europe/Berlin";"DE";51;"Münster";"Junglasweg";7,70919990539551;51,9166603088379;"70:ee:50:3d:10:3c"
"Europe/Berlin";"DE";52;"Münster";"L585n";7,71080017089844;51,9161987304688;"70:ee:50:1b:09:a4"
"Europe/Berlin";"DE";56;"Münster";"Pewostraße";7,718162;51,91043;"70:ee:50:ff:fe:56"
"Europe/Berlin";"DE";54;"Münster";NA;7,720914;51,920546;"70:ee:50:3e:df:50"
"Europe/Berlin";"DE";58;"Münster";"Am Steintor";7,72766925942091;51,9145789953908;"70:ee:50:35:dc:f6"
"Europe/Berlin";"DE";55;"Münster";"Im Bilskamp";7,737247;51,918143;"70:ee:50:27:b4:32"
"Europe/Berlin";"DE";60;"Everswinkel";"Wiemstraße";7,807728;51,914352;"70:ee:50:20:da:5c"
"Europe/Berlin";"DE";65;"Everswinkel";"Everswinkeler Straße";7,81037187576294;51,913745880127;"70:ee:50:33:0a:2a"
"Europe/Berlin";"DE";60;"Everswinkel";"Bergkamp";7,81313467025757;51,9122314453125;"70:ee:50:3c:fe:f8"
"Europe/Berlin";"DE";66;"Münster";"Mersmannsstiege";7,597957;51,928744;"70:ee:50:52:ec:56"
"Europe/Berlin";"DE";61;"Münster";"Kegelskamp";7,606298;51,926339;"70:ee:50:17:4f:40"
"Europe/Berlin";"DE";66;"Münster";"Rinkerodeweg";7,60285500000026;51,929481;"70:ee:50:2c:95:3a"
"Europe/Berlin";"DE";73;"Münster";"Düesbergweg";7,622213;51,933552;"70:ee:50:17:ec:56"
"Europe/Berlin";"DE";57;"Münster";"Höftestraße";7,67679376090243;51,9231980530039;"70:ee:50:58:8e:88"
"Europe/Berlin";"DE";59;"Münster";NA;7,676307;51,9305212;"70:ee:50:00:be:fe"
"Europe/Berlin";"DE";57;"Münster";"Meisenweg";7,677588;51,929434;"70:ee:50:29:10:bc"
"Europe/Berlin";"DE";55;"Münster";"In der Brinke";7,722191;51,923568;"70:ee:50:06:07:66"
"Europe/Berlin";"DE";54;"Münster";"Lerschmehr";7,720847;51,924344;"70:ee:50:3d:0d:0c"
"Europe/Berlin";"DE";53;"Münster";"Silberbrink";7,72480167392132;51,9230257273275;"70:ee:50:17:50:1c"
"Europe/Berlin";"DE";69;"Everswinkel";"Hillgenstohl";7,8369167;51,9279277;"70:ee:50:58:76:da"
"Europe/Berlin";"DE";70;"Everswinkel";"Von-Voss-Straße";7,83643189999998;51,9289565;"70:ee:50:2b:13:38"
"Europe/Berlin";"DE";70;"Everswinkel";"Pfarrer-Marx-Straße";7,839544;51,927941;"70:ee:50:06:80:c4"
"Europe/Berlin";"DE";70;"Everswinkel";"Krüzkamp";7,8519987;51,9276212;"70:ee:50:33:30:9a"
"Europe/Berlin";"DE";61;"Münster";"Buckstraße";7,60379;51,93856;"70:ee:50:15:e2:08"
"Europe/Berlin";"DE";69;"Münster";"Hammer Straße";7,624305;51,939329;"70:ee:50:33:1e:3a"
"Europe/Berlin";"DE";68;"Münster";"Heimstättenweg";7,61836464424519;51,943642407031;"70:ee:50:04:82:22"
"Europe/Berlin";"DE";67;"Münster";"Prinz-Eugen-Straße";7,618484;51,945387;"70:ee:50:52:e8:e4"
"Europe/Berlin";"DE";60;"Münster";NA;7,653875;51,942564;"70:ee:50:33:1b:3e"
"Europe/Berlin";"DE";68;"Münster";"Sentruper Straße";7,59605999999997;51,95311;"70:ee:50:17:66:30"
"Europe/Berlin";"DE";77;"Münster";"Rishon-Le-Zion-Ring";7,59639;51,959575;"70:ee:50:02:02:38"
"Europe/Berlin";"DE";68;"Münster";"Fliednerstraße";7,594364;51,964644;"70:ee:50:52:e2:f4"
"Europe/Berlin";"DE";67;"Münster";"Weseler Straße";7,618703;51,952932;"70:ee:50:5f:1b:2a"
"Europe/Berlin";"DE";66;"Münster";"Geiststraße";7,61944389343262;51,9524459838867;"70:ee:50:00:6f:76"
"Europe/Berlin";"DE";56;"Münster";"Georgskommende";7,618486;51,959746;"70:ee:50:22:db:66"
"Europe/Berlin";"DE";65;"Münster";"Brüderstraße";7,64070706280359;51,9630064927062;"70:ee:50:53:39:bc"
"Europe/Berlin";"DE";62;"Münster";"Nottebohmstraße";7,64634872695148;51,960566562612;"70:ee:50:58:a4:2a"
"Europe/Berlin";"DE";61;"Münster";"Warendorfer Straße";7,645808;51,962812;"70:ee:50:32:e1:48"
"Europe/Berlin";"DE";61;"Münster";"Gerhart-Hauptmann-Straße";7,678564;51,955962;"70:ee:50:52:cc:7e"
"Europe/Berlin";"DE";58;"Münster";"Parkallee";7,67799000000002;51,96122;"70:ee:50:2e:e0:ea"
"Europe/Berlin";"DE";98;"Havixbeck";"Poppenbeck";7,384422;51,977225;"70:ee:50:20:9f:d8"
"Europe/Berlin";"DE";98;"Havixbeck";"Poppenbeck";7,384696;51,978095;"70:ee:50:00:ba:c0"
"Europe/Berlin";"DE";82;"Kreis Coesfeld";"Antoniusweg";7,421296;51,974209;"70:ee:50:2b:41:10"
"Europe/Berlin";"DE";71;"Münster";"Südlohnweg";7,560871;51,974523;"70:ee:50:5e:da:66"
"Europe/Berlin";"DE";70;"Münster";"Asbeckweg";7,568175;51,968499;"70:ee:50:53:47:90"
"Europe/Berlin";"DE";70;"Münster";"Asbeckweg";7,56859500000005;51,96854;"70:ee:50:17:e8:ba"
"Europe/Berlin";"DE";72;"Münster";"Besselweg";7,57856000000004;51,97019;"70:ee:50:2b:4c:ce"
"Europe/Berlin";"DE";73;"Münster";"Von-Esmarch-Straße";7,58205255225459;51,9663335683028;"70:ee:50:16:0d:1a"
"Europe/Berlin";"DE";90;"Havixbeck";"Poppenbeck";7,39663509037928;51,9850710460791;"70:ee:50:29:45:c6"
"Europe/Berlin";"DE";77;"Münster";"Ernst-Wiechert-Straße";7,550553;51,990723;"70:ee:50:29:26:4c"
"Europe/Berlin";"DE";63;"Münster";"Gasselstiege";7,592623;51,990292;"70:ee:50:1e:18:a6"
"Europe/Berlin";"DE";58;"Münster";"Fernholzstraße";7,59249773321908;51,993665500029;"70:ee:50:1a:f0:b0"
"Europe/Berlin";"DE";58;"Münster";"Eimermacherweg";7,593091;51,994629;"70:ee:50:17:e1:dc"
"Europe/Berlin";"DE";81;"Münster";"Feldstiege";7,55;52;"70:ee:50:12:39:e2"
"Europe/Berlin";"DE";83;"Münster";"Altenberger Straße";7,561664;51,998314;"70:ee:50:20:dc:3a"
"Europe/Berlin";"DE";98;"Billerbeck";"Esking";7,35692;52,018371;"70:ee:50:2b:67:dc"
"Europe/Berlin";"DE";69;"Altenberge";"Kümper";7,4424;52,013174;"70:ee:50:14:4e:ce"
"Europe/Berlin";"DE";55;"Häger";"Hanseller Straße";7,56147999999996;52,02356;"70:ee:50:05:fe:3e"
"Europe/Berlin";"DE";72;"Laer";"Dorfbauerschaft";7,382207;52,039178;"70:ee:50:3f:4b:6e"
"Europe/Berlin";"DE";118;"Altenberge";"Bergstraße";7,46162;52,048017;"70:ee:50:02:29:88"
"Europe/Berlin";"DE";99;"Altenberge";"Am Hang";7,47057118631439;52,0496209259282;"70:ee:50:01:e9:a8"
"Europe/Berlin";"DE";114;"Altenberge";"Hermannsweg";7,47262109374999;52,0499225;"70:ee:50:22:da:5c"
"Europe/Berlin";"DE";103;"Altenberge";"Sperberweg";7,47795666937259;52,0402652865438;"70:ee:50:12:90:e6"
"Europe/Berlin";"DE";83;"Altenberge";"Zur Quelle";7,4779453;52,04608;"70:ee:50:2c:84:a6"
"Europe/Berlin";"DE";71;"Altenberge";"Bültenweg";7,4812713;52,0512597;"70:ee:50:2c:80:56"
"Europe/Berlin";"DE";85;"Laer";"Horstmarer Straße";7,336539;52,063481;"70:ee:50:3f:04:52"
"Europe/Berlin";"DE";85;"Laer";"Horstmarer Straße";7,336539;52,063481;"70:ee:50:32:e8:b6"
"Europe/Berlin";"DE";77;"Laer";"Pohlstraße";7,35442;52,05884;"70:ee:50:1f:74:24"
"Europe/Berlin";"DE";80;"Laer";"Hohe Straße";7,359385;52,054502;"70:ee:50:1f:6d:ea"
"Europe/Berlin";"DE";67;"Altenberge";"Am Wäldchen";7,476712;52,055576;"70:ee:50:5f:13:2e"
"Europe/Berlin";"DE";69;"Nordwalde";"Feldbauerschaft";7,45222330093384;52,0786247253418;"70:ee:50:17:e2:74"
"Europe/Berlin";"DE";65;"Nordwalde";"Bahnhofstraße";7,46126178970349;52,0792021967096;"70:ee:50:5f:37:d8"
"Europe/Berlin";"DE";66;"Nordwalde";"Grüner Grund";7,46347600000005;52,077687;"70:ee:50:17:61:3a"
"Europe/Berlin";"DE";60;"Nordwalde";"An der Wallhecke";7,470596;52,080304;"70:ee:50:17:e8:38"
"Europe/Berlin";"DE";57;"Nordwalde";"Im Wiesengrund";7,469001;52,082575;"70:ee:50:13:6e:34"
"Europe/Berlin";"DE";50;"Nordwalde";"Dömerstiege";7,474662;52,092813;"70:ee:50:3c:29:70"
"Europe/Berlin";"DE";50;"Nordwalde";"Amtmann-Daniel-Straße";7,48093400000002;52,0873099999006;"70:ee:50:2f:26:fe"
"Europe/Berlin";"DE";48;"Nordwalde";"Meerstiege";7,47929120000003;52,0917788;"70:ee:50:29:32:5a"
"Europe/Berlin";"DE";48;"Nordwalde";"Natz-Thier-Straße";7,48330020904541;52,0833015441895;"70:ee:50:1f:80:3a"
"Europe/Berlin";"DE";43;"Kreis Steinfurt";"Im Deipen Brook";7,58844375610352;52,0956039428711;"70:ee:50:2c:83:c0"
"Europe/Berlin";"DE";44;"Greven";"Hanseller Straße";7,59083265671393;52,0920849278323;"70:ee:50:22:ef:28"
"Europe/Berlin";"DE";71;"Kreis Steinfurt";"Sandweg";7,400168;52,106398;"70:ee:50:17:cf:e0"
"Europe/Berlin";"DE";40;"Kreis Steinfurt";"Tieckstraße";7,585042;52,095798;"70:ee:50:22:d8:60"
"Europe/Berlin";"DE";42;"Greven";"Im Deipen Brook";7,58809329997536;52,0962320998308;"70:ee:50:3f:28:94"
"Europe/Berlin";"DE";70;"Kreis Steinfurt";"Wehrstraße";7,3745973;52,118986;"70:ee:50:29:6b:78"
"Europe/Berlin";"DE";66;"Kreis Steinfurt";"Fichtenweg";7,375716;52,124223;"70:ee:50:32:d6:2c"
"Europe/Berlin";"DE";65;"Kreis Steinfurt";"Otto-Hahn-Straße";7,38745074;52,11385446;"70:ee:50:2a:ed:b8"
"Europe/Berlin";"DE";72;"Kreis Steinfurt";"Bonifatiusweg";7,391248;52,114689;"70:ee:50:3f:08:1e"
"Europe/Berlin";"DE";74;"Kreis Steinfurt";"Industriestraße";7,38366300000007;52,1235854;"70:ee:50:1b:16:ae"
"Europe/Berlin";"DE";47;"Kreis Steinfurt";"Drosselweg";7,55751697461966;52,116929746635;"70:ee:50:2e:ee:fe"
"Europe/Berlin";"DE";47;"Kreis Steinfurt";"Grevener Landstraße";7,55520310052486;52,1229425326228;"70:ee:50:15:f5:7a"
"Europe/Berlin";"DE";75;"Kreis Steinfurt";"Raabestraße";7,331742;52,134893;"70:ee:50:32:d5:0a"
"Europe/Berlin";"DE";71;"Kreis Steinfurt";"Hollacker";7,3374822005951;52,1333418760619;"70:ee:50:17:80:38"
"Europe/Berlin";"DE";70;"Kreis Steinfurt";"Pferdekamp";7,33732068714608;52,1337194300328;"70:ee:50:2b:2c:e0"
"Europe/Berlin";"DE";64;"Kreis Steinfurt";"Blocktor";7,342029;52,133231;"70:ee:50:32:f8:42"
"Europe/Berlin";"DE";71;"Kreis Steinfurt";"Waldring";7,37813639640808;52,1253566611944;"70:ee:50:03:aa:02"
"Europe/Berlin";"DE";74;"Kreis Steinfurt";"Grottenkamp";7,3846782137407;52,1260181442287;"70:ee:50:00:ae:ea"
"Europe/Berlin";"DE";67;"Kreis Steinfurt";"Wildtstraße";7,40369910000004;52,1267295;"70:ee:50:2f:00:7a"
"Europe/Berlin";"DE";47;"Kreis Steinfurt";"Am Schienenweg";7,56391299999996;52,1320212;"70:ee:50:28:c8:a4"
"Europe/Berlin";"DE";75;"Kreis Coesfeld";"Narzissenstraße";7,31709569999998;51,8197841;"70:ee:50:1f:68:f8"
"Europe/Berlin";"DE";57;"Kreis Coesfeld";"Berenbrock";7,404323;51,807283;"70:ee:50:33:21:bc"
"Europe/Berlin";"DE";65;"Lüdinghausen";"Bechtrup";7,47807;51,80849;"70:ee:50:27:88:da"
"Europe/Berlin";"DE";61;"Senden";"Dorfbauerschaft";7,528724;51,83261;"70:ee:50:1c:77:ea"
"Europe/Berlin";"DE";60;"Senden";"Venner Straße";7,533752;51,827284;"70:ee:50:03:a5:82"
"Europe/Berlin";"DE";63;"Senden";"Von-Galen-Straße";7,543379;51,824562;"70:ee:50:00:70:12"
"Europe/Berlin";"DE";59;"Kreis Coesfeld";"Schützenstraße";7,40467000000001;51,84264;"70:ee:50:02:8f:b4"
"Europe/Berlin";"DE";65;"Kreis Coesfeld";"K 13";7,34885826983646;51,8505720724941;"70:ee:50:12:ca:6e"
"Europe/Berlin";"DE";65;"Kreis Coesfeld";"Weitenkamp";7,355715;51,861526;"70:ee:50:06:a7:66"
"Europe/Berlin";"DE";64;"Kreis Coesfeld";"Am Kleuterbach";7,35881996154785;51,8622245788574;"70:ee:50:52:d9:4c"
"Europe/Berlin";"DE";64;"Senden";"Trakehner Weg";7,466789;51,856728;"70:ee:50:05:03:ae"
"Europe/Berlin";"DE";61;"Senden";"Erlengrund";7,475981;51,863929;"70:ee:50:33:0f:88"
"Europe/Berlin";"DE";60;"Senden";"Hiegenbusch";7,476248;51,860099;"70:ee:50:27:1e:3c"
